module,wetness,raining,temperature,battery,when
05,,,-127.0,4.294952392578125,25/04/2017 12:57:22.436
05,,,-127.0,4.215416431427002,25/04/2017 12:57:33.137
05,,,27.6875,4.169093132019043,25/04/2017 12:57:39.689
05,,,27.6875,4.360775470733643,25/04/2017 12:57:52.547
05,,,27.6875,4.360775470733643,25/04/2017 12:58:00.230
05,,,27.6875,4.327613830566406,25/04/2017 12:58:13.090
05,,,27.6875,4.377547740936279,25/04/2017 12:58:18.609
05,,,27.625,4.344130992889404,25/04/2017 12:58:30.390
05,,,85.0,4.311221122741699,25/04/2017 12:58:38.234
05,,,27.6875,4.377547740936279,25/04/2017 12:58:52.206
05,,,27.6875,4.360775470733643,25/04/2017 12:59:06.936
05,,,27.6875,4.344130992889404,25/04/2017 12:59:19.801
05,,,27.6875,4.1998610496521,25/04/2017 12:59:31.143
05,,,27.6875,4.123776912689209,25/04/2017 12:59:42.488
05,,,27.6875,4.311221122741699,25/04/2017 12:59:53.825
05,,,27.6875,4.311221122741699,25/04/2017 13:00:05.163
05,,,27.6875,4.278805732727051,25/04/2017 13:00:16.503
05,,,27.75,4.360775470733643,25/04/2017 13:00:27.842
05,,,27.75,4.138772010803223,25/04/2017 13:00:39.181
05,,,27.75,4.344130992889404,25/04/2017 13:00:50.520
05,,,-127.0,4.294952392578125,25/04/2017 13:00:55.781
05,,,-127.0,4.311221122741699,25/04/2017 13:01:07.560
05,,,-127.0,4.311221122741699,25/04/2017 13:01:18.052
05,,,-127.0,4.278805732727051,25/04/2017 13:01:30.273
05,,,-127.0,4.294952392578125,25/04/2017 13:01:40.955
05,,,-127.0,4.2468743324279785,25/04/2017 13:01:51.639
05,,,-127.0,4.278805732727051,25/04/2017 13:02:00.149
05,,,-127.0,4.344130992889404,25/04/2017 13:02:12.360
05,,,-127.0,4.2468743324279785,25/04/2017 13:02:23.049
05,,,27.8125,4.294952392578125,25/04/2017 13:02:30.262
05,,,27.8125,4.411481857299805,25/04/2017 13:02:43.133
05,,,27.875,4.26278018951416,25/04/2017 13:02:54.478
05,,,28.0,4.231086730957031,25/04/2017 13:03:39.917
05,,,28.0,4.377547740936279,25/04/2017 13:04:02.641
05,,,28.0625,4.344130992889404,25/04/2017 13:04:13.980
05,,,28.0625,4.231086730957031,25/04/2017 13:04:25.323
05,,,28.1875,4.327613830566406,25/04/2017 13:05:10.760
05,,,28.25,4.294952392578125,25/04/2017 13:06:41.661
05,,,28.3125,4.231086730957031,25/04/2017 13:07:27.103
05,,,28.1875,4.138772010803223,25/04/2017 13:11:14.423
05,,,28.1875,4.215416431427002,25/04/2017 13:11:59.871
05,,,28.1875,4.153877258300781,25/04/2017 13:12:45.329
05,,,28.25,4.138772010803223,25/04/2017 13:13:30.792
05,,,28.25,4.138772010803223,25/04/2017 13:14:16.238
05,,,28.25,4.231086730957031,25/04/2017 13:15:01.689
05,,,28.4375,4.231086730957031,25/04/2017 13:15:13.038
05,,,28.5,4.184420585632324,25/04/2017 13:15:24.385
05,,,28.4375,4.153877258300781,25/04/2017 13:15:35.749
05,,,28.375,4.215416431427002,25/04/2017 13:15:47.091
05,,,28.3125,4.215416431427002,25/04/2017 13:15:58.437
05,,,28.25,4.26278018951416,25/04/2017 13:16:09.792
05,,,28.125,4.231086730957031,25/04/2017 13:16:21.139
05,,,28.0625,4.169093132019043,25/04/2017 13:16:32.485
05,,,28.0625,4.153877258300781,25/04/2017 13:16:43.831
05,,,28.0,4.215416431427002,25/04/2017 13:16:55.178
05,,,27.9375,4.123776912689209,25/04/2017 13:17:06.535
05,,,27.9375,4.153877258300781,25/04/2017 13:17:17.867
05,,,27.875,4.153877258300781,25/04/2017 13:17:29.227
05,,,27.875,4.153877258300781,25/04/2017 13:17:40.573
05,,,27.875,4.138772010803223,25/04/2017 13:17:51.921
05,,,27.8125,4.26278018951416,25/04/2017 13:18:03.263
05,,,27.8125,4.184420585632324,25/04/2017 13:18:14.619
05,,,27.8125,4.169093132019043,25/04/2017 13:18:25.960
05,,,27.8125,4.123776912689209,25/04/2017 13:18:37.320
05,,,27.8125,4.1998610496521,25/04/2017 13:18:48.662
05,,,27.8125,4.123776912689209,25/04/2017 13:19:00.023
05,,,27.8125,4.123776912689209,25/04/2017 13:19:11.359
05,,,27.8125,4.231086730957031,25/04/2017 13:19:22.715
05,,,27.8125,4.153877258300781,25/04/2017 13:19:34.058
05,,,27.875,4.215416431427002,25/04/2017 13:19:45.408
05,,,27.875,4.153877258300781,25/04/2017 13:19:56.754
